Provider ID,Score,ScoreBin,Hospital Name,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Efficient use of medical imaging national comparison,Hospital,Cleanliness,Nurses,Doctors,HelpWhenNeeded,PainControl,ExplainMeds,RecoveryInfo,UnderstandCare,Rating,Quiet,Recommend,HAI2,HAI3,HAI4,HAI5,HAI6,Aggregate_Inf,PAYM_30_AMI,PAYM_30_HF,PAYM_30_PN,PayPerBenAvg,COMP_HIP_KNEE,PSI_12_POSTOP_PULMEMB_DVT,PSI_13_POST_SEPSIS,PSI_14_POSTOP_DEHIS,PSI_15_ACC_LAC,PSI_3_ULCER,PSI_4_SURG_COMP,PSI_6_IAT_PTX,PSI_7_CVCBI,PSI_8_POST_HIP,PSI_90_SAFETY,MORT_30_AMI,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,READM_30_AMI,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,OP_12 eLab_Rec,OP_17_TrackMedInfo,OP_25_CHECK_OP,SM_PART_GEN_SURG,SM_PART_NURSE,SM_SS_CHECK_IP,SumStruct,ED_IP_Throughput,EDV,IMM__PT,IMM_Workers,ED_OP_Throughput,TimeToEval,TimeToPainMed,LeftBeforeTreat,Endoscopy polyp surveillance  appropriate follow-up interval for normal colonoscopy in average risk patients,AspirinCP,TimeToECG,ElectiveEarlyDelivery,AppropStrokeCare,HospVTE
10044,5,1,MARION REGIONAL MEDICAL CENTER,35570,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,10044,93,94,96,93,82,83,91,58,83,84,82,5.037783375,,,0,0.240500241,0.344313095,,13920,12616,13268,,,,,1.39,0.46,,0.41,0.17,,0.89,,6.6,11.4,13.9,,,19,20.8,,14.9,15.2,,1,1,1,0,0,1,4,202,1,95,81,110,27,50,2,,95,5,,,
10125,5,1,LAKELAND COMMUNITY HOSPITAL,35565,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,10125,80,83,83,72,75,56,84,49,72,78,67,0,,,0,0.177619893,0.086051114,,14751,12428,13589.5,,,,,1.39,0.39,,0.4,0.17,,0.89,,7.4,13.2,12.2,13.5,,17.1,21.6,,13.7,13.3,12.9,1,1,1,0,0,1,4,156,1,99,78,66,6,32,1,,97,0,,,
10149,5,1,BAPTIST MEDICAL CENTER EAST,36117,Acute Care Hospitals,Government,1,1,Same as the national average,10149,68,79,84,62,73,66,89,54,77,66,80,0.160076837,0,9.900990099,0.016840971,0.526281166,0.27714204,23519,15333,14327,17726.33333,,3.48,8.89,2.14,0.89,0.16,,0.33,0.22,0.06,0.62,13.1,8.6,11.3,12.6,13.4,16.7,19.8,22.1,,14.2,17.1,12.8,1,1,1,0,0,1,4,490,3,92,77,197,38,74,3,100,100,9,2,,
30103,5,1,MAYO CLINIC HOSPITAL,85054,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,30103,79,88,88,81,77,74,92,69,94,71,94,0.904801913,25.64102564,0,0.055903399,1.299754025,0.748135947,20762,15955,13739,16818.66667,2.7,3.35,11.39,1.79,0.98,0.61,70.79,0.45,0.2,0.06,0.71,11.3,7.3,9.8,11.4,16.6,14.7,17.6,18.3,3.6,14,15,11,1,1,1,1,1,1,6,289,2,94,82,190,38,62,1,65,,,,100,0
30105,5,1,BANNER HEART HOSPITAL,85206,Acute Care Hospitals,Voluntary Non-Profit,0,1,Not Available,30105,70,82,77,70,71,62,89,54,79,50,82,0.892325996,,,0.19014118,0.28521177,0.286116736,23338,17358,,20348,,4.63,8.01,,1.21,0.29,132.53,0.32,0.12,0.06,0.76,12.4,9.2,9.1,17.5,,14.7,18.8,18.4,,14.1,16.8,,1,1,1,0,1,1,5,,,98,96,,,,,,,,,,
40147,5,1,ARKANSAS SURGICAL HOSPITAL,72118,Acute Care Hospitals,Physician,1,1,Not Available,40147,81,88,89,78,79,75,91,66,88,87,90,0,,,0,0,0,,,,,1.9,2.28,10.28,,1.17,0.44,,0.37,0.16,0.06,0.65,,,,,,,,,3.3,12.4,,,1,1,1,0,0,1,4,,1,99,64,124,30,,1,,,,,,
50145,5,1,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,93940,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,50145,78,82,84,69,72,66,89,56,84,57,87,1.308329699,13.69863014,0,0.062305296,0.556066471,0.392172242,23361,15610,14287,17752.66667,3.4,5.13,11.58,1.95,1.57,0.32,138.93,0.3,0.27,0.06,0.91,13,7.9,11.4,16.5,13.1,15.6,18.2,18.7,4.2,12.9,14,10.6,1,1,1,0,1,1,5,246,3,98,85,188,36,86,2,80,,,7,96,9
50238,5,1,METHODIST HOSPITAL OF SOUTHERN CA,91006,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,50238,76,75,78,59,72,60,84,53,76,51,78,0.525332711,19.73684211,5.319148936,0,0.555352808,0.326086957,22875,18095,17780,19583.33333,3.4,1.9,12.41,2.07,1.89,0.08,105.32,0.33,0.1,0.06,0.76,12.5,5.7,8.9,13.2,12.3,16.3,18.4,22.1,4.4,14.9,15.6,13.1,1,1,1,0,1,1,5,304,3,96,82,242,42,65,4,100,100,16,0,97,0
50324,5,1,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,92037,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,50324,75,79,82,65,72,65,85,56,78,61,82,2.134797194,45.24886878,14.43298969,0.03603041,0.788985759,0.623801493,25656,18722,16815,20397.66667,2.1,6.8,12.9,1.91,0.43,0.37,124.15,0.33,0.16,0.06,0.76,12.6,8.5,15.2,14.8,15.2,14.8,18.3,20.9,3.7,13.2,16.4,12.2,1,1,1,0,1,1,5,227,2,99,89,157,15,35,1,97,100,7,4,100,0
50357,5,1,GOLETA VALLEY COTTAGE HOSPITAL,93111,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,50357,85,88,88,75,76,69,91,63,87,67,90,0,0,,0,0.254258835,0.124781632,,,14476,14476,1.9,3.08,8,,1.21,0.28,,0.39,0.17,0.06,0.68,,,12.9,14.6,,,,21.1,3.8,14.4,16.3,,1,1,1,0,0,1,4,272,2,100,91,119,26,27,2,,90,8,,,
